,Dual_dist,seed,Algorithm,naive_init,lr,epoch_num,momentum,best_obj,max_grid_obj,max_data_obj
0,bernoulli_5,10,SGD_c_l_rate,True,1e-05,10,NA,-24.36627197265625,-41.48189198623871,-41.364867783639234
1,bernoulli_5,10,SGD_c_l_rate,True,0.0001,10,NA,-24.52544403076172,-41.48189198623871,-41.364867783639234
2,bernoulli_5,10,SGD_c_l_rate,True,0.001,10,NA,-25.003612518310547,-41.48189198623871,-41.364867783639234
3,bernoulli_5,10,SGD_c_l_rate,True,0.01,10,NA,-24.345600128173828,-41.48189198623871,-41.364867783639234
4,bernoulli_5,10,SGD_c_l_rate,True,0.1,10,NA,-31.29419708251953,-41.48189198623871,-41.364867783639234
5,bernoulli_5,10,SGD_c_l_rate,False,1e-05,10,NA,-41.36864471435547,-41.48189198623871,-41.364867783639234
6,bernoulli_5,10,SGD_c_l_rate,False,0.0001,10,NA,-41.395469665527344,-41.48189198623871,-41.364867783639234
7,bernoulli_5,10,SGD_c_l_rate,False,0.001,10,NA,-41.39683532714844,-41.48189198623871,-41.364867783639234
8,bernoulli_5,10,SGD_c_l_rate,False,0.01,10,NA,-41.3648567199707,-41.48189198623871,-41.364867783639234
9,bernoulli_5,10,SGD_c_l_rate,False,0.1,10,NA,-41.3648567199707,-41.48189198623871,-41.364867783639234
10,bernoulli_5,10,SGD_scale_by_ep,True,1e-05,10,NA,-24.34920883178711,-41.48189198623871,-41.364867783639234
11,bernoulli_5,10,SGD_scale_by_ep,True,0.0001,10,NA,-24.38058090209961,-41.48189198623871,-41.364867783639234
12,bernoulli_5,10,SGD_scale_by_ep,True,0.001,10,NA,-24.61116600036621,-41.48189198623871,-41.364867783639234
13,bernoulli_5,10,SGD_scale_by_ep,True,0.01,10,NA,-24.598264694213867,-41.48189198623871,-41.364867783639234
14,bernoulli_5,10,SGD_scale_by_ep,True,0.1,10,NA,-35.824554443359375,-41.48189198623871,-41.364867783639234
15,bernoulli_5,10,SGD_scale_by_ep,False,1e-05,10,NA,-41.36553192138672,-41.48189198623871,-41.364867783639234
16,bernoulli_5,10,SGD_scale_by_ep,False,0.0001,10,NA,-41.3709602355957,-41.48189198623871,-41.364867783639234
17,bernoulli_5,10,SGD_scale_by_ep,False,0.001,10,NA,-41.38833236694336,-41.48189198623871,-41.364867783639234
18,bernoulli_5,10,SGD_scale_by_ep,False,0.01,10,NA,-41.3648567199707,-41.48189198623871,-41.364867783639234
19,bernoulli_5,10,SGD_scale_by_ep,False,0.1,10,NA,-41.3648567199707,-41.48189198623871,-41.364867783639234
20,bernoulli_5,10,SGD_adaptive,True,1e-05,10,NA,-24.346786499023438,-41.48189198623871,-41.364867783639234
21,bernoulli_5,10,SGD_adaptive,True,0.0001,10,NA,-24.35751724243164,-41.48189198623871,-41.364867783639234
22,bernoulli_5,10,SGD_adaptive,True,0.001,10,NA,-24.45720672607422,-41.48189198623871,-41.364867783639234
23,bernoulli_5,10,SGD_adaptive,True,0.01,10,NA,-24.941152572631836,-41.48189198623871,-41.364867783639234
24,bernoulli_5,10,SGD_adaptive,True,0.1,10,NA,-25.028350830078125,-41.48189198623871,-41.364867783639234
25,bernoulli_5,10,SGD_adaptive,False,1e-05,10,NA,-41.36566162109375,-41.48189198623871,-41.364867783639234
26,bernoulli_5,10,SGD_adaptive,False,0.0001,10,NA,-41.37255859375,-41.48189198623871,-41.364867783639234
27,bernoulli_5,10,SGD_adaptive,False,0.001,10,NA,-41.42707443237305,-41.48189198623871,-41.364867783639234
28,bernoulli_5,10,SGD_adaptive,False,0.01,10,NA,-41.39012145996094,-41.48189198623871,-41.364867783639234
29,bernoulli_5,10,SGD_adaptive,False,0.1,10,NA,-41.3648567199707,-41.48189198623871,-41.364867783639234
30,bernoulli_5,10,SGD_with_Momentum,True,1e-05,10,0.1,-24.349233627319336,-41.48189198623871,-41.364867783639234
31,bernoulli_5,10,SGD_with_Momentum,True,0.0001,10,0.1,-24.380830764770508,-41.48189198623871,-41.364867783639234
32,bernoulli_5,10,SGD_with_Momentum,True,0.001,10,0.1,-24.61539077758789,-41.48189198623871,-41.364867783639234
33,bernoulli_5,10,SGD_with_Momentum,True,0.01,10,0.1,-24.76554298400879,-41.48189198623871,-41.364867783639234
34,bernoulli_5,10,SGD_with_Momentum,True,0.1,10,0.1,-35.43794631958008,-41.48189198623871,-41.364867783639234
35,bernoulli_5,10,SGD_with_Momentum,False,1e-05,10,0.1,-41.36553955078125,-41.48189198623871,-41.364867783639234
36,bernoulli_5,10,SGD_with_Momentum,False,0.0001,10,0.1,-41.371116638183594,-41.48189198623871,-41.364867783639234
37,bernoulli_5,10,SGD_with_Momentum,False,0.001,10,0.1,-41.389678955078125,-41.48189198623871,-41.364867783639234
38,bernoulli_5,10,SGD_with_Momentum,False,0.01,10,0.1,-41.3648567199707,-41.48189198623871,-41.364867783639234
39,bernoulli_5,10,SGD_with_Momentum,False,0.1,10,0.1,-41.3648567199707,-41.48189198623871,-41.364867783639234
40,bernoulli_5,10,Adagrad,True,1e-05,10,NA,-24.347309112548828,-41.48189198623871,-41.364867783639234
41,bernoulli_5,10,Adagrad,True,0.0001,10,NA,-24.362422943115234,-41.48189198623871,-41.364867783639234
42,bernoulli_5,10,Adagrad,True,0.001,10,NA,-24.499326705932617,-41.48189198623871,-41.364867783639234
43,bernoulli_5,10,Adagrad,True,0.01,10,NA,-25.017484664916992,-41.48189198623871,-41.364867783639234
44,bernoulli_5,10,Adagrad,True,0.1,10,NA,-24.987825393676758,-41.48189198623871,-41.364867783639234
45,bernoulli_5,10,Adagrad,False,1e-05,10,NA,-41.36603546142578,-41.48189198623871,-41.364867783639234
46,bernoulli_5,10,Adagrad,False,0.0001,10,NA,-41.37624740600586,-41.48189198623871,-41.364867783639234
47,bernoulli_5,10,Adagrad,False,0.001,10,NA,-41.448463439941406,-41.48189198623871,-41.364867783639234
48,bernoulli_5,10,Adagrad,False,0.01,10,NA,-41.3648567199707,-41.48189198623871,-41.364867783639234
49,bernoulli_5,10,Adagrad,False,0.1,10,NA,-41.3648567199707,-41.48189198623871,-41.364867783639234
50,bernoulli_5,10,Adam_sg,True,1e-05,10,NA,-24.406784057617188,-41.48189198623871,-41.364867783639234
51,bernoulli_5,10,Adam_sg,True,0.0001,10,NA,-24.736066818237305,-41.48189198623871,-41.364867783639234
52,bernoulli_5,10,Adam_sg,True,0.001,10,NA,-39.02860641479492,-41.48189198623871,-41.364867783639234
53,bernoulli_5,10,Adam_sg,True,0.01,10,NA,-33.54898452758789,-41.48189198623871,-41.364867783639234
54,bernoulli_5,10,Adam_sg,True,0.1,10,NA,-24.345600128173828,-41.48189198623871,-41.364867783639234
55,bernoulli_5,10,Adam_sg,False,1e-05,10,NA,-41.3905029296875,-41.48189198623871,-41.364867783639234
56,bernoulli_5,10,Adam_sg,False,0.0001,10,NA,-41.46527099609375,-41.48189198623871,-41.364867783639234
57,bernoulli_5,10,Adam_sg,False,0.001,10,NA,-41.3648567199707,-41.48189198623871,-41.364867783639234
58,bernoulli_5,10,Adam_sg,False,0.01,10,NA,-41.3648567199707,-41.48189198623871,-41.364867783639234
